ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
471,"Sandby, Paul",Male,c.1730â€“1809,1730,1809,"Nottingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/paul-sandby-471
1046,"Durrant, Jennifer",Female,born 1942,1942,,"Brighton, United Kingdom",,http://www.tate.org.uk/art/artists/jennifer-durrant-1046
1800,"Procktor, Patrick",Male,1936â€“2003,1936,2003,"Dublin, Ã‰ire",,http://www.tate.org.uk/art/artists/patrick-procktor-1800
14097,"Shemza, Anwar Jalal",Male,1928â€“1985,1928,1985,Bharat,"Stafford, United Kingdom",http://www.tate.org.uk/art/artists/anwar-jalal-shemza-14097
1793,"Portway, Douglas",Male,1922â€“1993,1922,1993,"Johannesburg, South Africa",,http://www.tate.org.uk/art/artists/douglas-portway-1793
1626,"Methuen, Lord",Male,1886â€“1974,1886,1974,"Corsham, United Kingdom",,http://www.tate.org.uk/art/artists/lord-methuen-1626
2740,"Boitard, Louis Philippe",Male,active 1734â€“1760,1734,1760,France,,http://www.tate.org.uk/art/artists/louis-philippe-boitard-2740
288,"Hunter, Colin",Male,1841â€“1904,1841,1904,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/colin-hunter-288
2790,"Gabie, Neville",Male,born 1959,1959,,"Johannesburg, South Africa",,http://www.tate.org.uk/art/artists/neville-gabie-2790
1484,"Ledger, Janet",Female,born 1931,1931,,"Northampton, United Kingdom",,http://www.tate.org.uk/art/artists/janet-ledger-1484
1523,"Lohse, Richard Paul",Male,1902â€“1988,1902,1988,"ZÃ_rich, Schweiz",,http://www.tate.org.uk/art/artists/richard-paul-lohse-1523
5239,"Eliasson, Olafur",Male,born 1967,1967,,"KÃ¸benhavn, Danmark",,http://www.tate.org.uk/art/artists/olafur-eliasson-5239
1339,"IpoustÃ©guy, Jean",Male,born 1920,1920,,"Dun-sur-Meuse, France",,http://www.tate.org.uk/art/artists/jean-robert-ipousteguy-1339
16339,"Collein, Edmund",Male,1906â€“1992,1906,1992,"Bad Kreuznach, Deutschland",,http://www.tate.org.uk/art/artists/edmund-collein-16339
2154,"Winner, Gerd",Male,born 1936,1936,,"Braunschweig, Deutschland",,http://www.tate.org.uk/art/artists/gerd-winner-2154
4721,"Johnson, Thomas",Male,c.1628â€“1685,1628,1685,,,http://www.tate.org.uk/art/artists/thomas-johnson-4721
17410,"Yarrow, Catherine",Female,1904â€“1990,1904,1990,"Harpenden, United Kingdom",,http://www.tate.org.uk/art/artists/catherine-yarrow-17410
2333,"Viola, Bill",Male,born 1951,1951,,"New York, United States",,http://www.tate.org.uk/art/artists/bill-viola-2333
2022,"Tanabe, Takao",Male,born 1926,1926,,"British Columbia, Canada",,http://www.tate.org.uk/art/artists/takao-tanabe-2022
1251,"Hartung, Hans",Male,1904â€“1989,1904,1989,"Leipzig, Deutschland","Antibes, France",http://www.tate.org.uk/art/artists/hans-hartung-1251
2616,"Naylor, Martin",Male,born 1944,1944,,"England, United Kingdom",,http://www.tate.org.uk/art/artists/martin-naylor-2616
636,"Albers, Josef",Male,1888â€“1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
